Date,Title,Details,Status
2025-01-01,Salaries,Make Payments to Staff,open
2025-01-04,Monthly Reimbursements,"Online Marketing (Google/Meta/Tiktok) -> David, Graphic Design -> Zac, VR -> Khan",open
2025-01-06,Check Inventory and Re-Order,Check current inventory and make necessary re-orders (https://docs.google.com/spreadsheets/d/1e0D6-6CcSrrVr4SnV4-DaOw0gtODJaSYLmvU8j83N1o/edit?gid=1531946274#gid=1531946274),open
2025-01-08,Prepare Staff Schedule,Prepare Staff Schedule and share via LINE to staff,open
2025-01-12,Prepare & Pay Taxes (VAT/WHT) + SSO,"1. Upload Transactions with VAT/WHT to FlowAccount 2. Prepare WHT PND 3 / 53 within FlowAccount 3. Prepare VAT PP36 and PP30 within FlowAccount+RD Prep 4. Submit VAT & WHT and make Payment in E-Filling 5. Submit and Pay SSO",open
2025-01-13,Check Inventory and Re-Order,Check current inventory and make necessary re-orders (https://docs.google.com/spreadsheets/d/1e0D6-6CcSrrVr4SnV4-DaOw0gtODJaSYLmvU8j83N1o/edit?gid=1531946274#gid=1531946274),open
2025-01-20,Check Inventory and Re-Order,Check current inventory and make necessary re-orders (https://docs.google.com/spreadsheets/d/1e0D6-6CcSrrVr4SnV4-DaOw0gtODJaSYLmvU8j83N1o/edit?gid=1531946274#gid=1531946274),open
2025-01-22,Prepare Staff Schedule,Prepare Staff Schedule and share via LINE to staff,open
2025-01-23,Operational Manager Reimbursement,Reimbursement Bank,open
2025-01-27,Check Inventory and Re-Order,Check current inventory and make necessary re-orders (https://docs.google.com/spreadsheets/d/1e0D6-6CcSrrVr4SnV4-DaOw0gtODJaSYLmvU8j83N1o/edit?gid=1531946274#gid=1531946274),open
2025-01-30,Marketing & Sales Manager Reimbursement,Reimbursement Mind,open
2025-02-01,Salaries,Make Payments to Staff,open
2025-02-03,Check Inventory and Re-Order,Check current inventory and make necessary re-orders (https://docs.google.com/spreadsheets/d/1e0D6-6CcSrrVr4SnV4-DaOw0gtODJaSYLmvU8j83N1o/edit?gid=1531946274#gid=1531946274),open
2025-02-04,Monthly Reimbursements,"Online Marketing (Google/Meta/Tiktok) -> David, Graphic Design -> Zac, VR -> Khan",open
2025-02-05,Prepare Staff Schedule,Prepare Staff Schedule and share via LINE to staff,open
2025-02-10,Check Inventory and Re-Order,Check current inventory and make necessary re-orders (https://docs.google.com/spreadsheets/d/1e0D6-6CcSrrVr4SnV4-DaOw0gtODJaSYLmvU8j83N1o/edit?gid=1531946274#gid=1531946274),open
2025-02-12,Prepare & Pay Taxes (VAT/WHT) + SSO,"1. Upload Transactions with VAT/WHT to FlowAccount 2. Prepare WHT PND 3 / 53 within FlowAccount 3. Prepare VAT PP36 and PP30 within FlowAccount+RD Prep 4. Submit VAT & WHT and make Payment in E-Filling 5. Submit and Pay SSO",open
2025-02-17,Check Inventory and Re-Order,Check current inventory and make necessary re-orders (https://docs.google.com/spreadsheets/d/1e0D6-6CcSrrVr4SnV4-DaOw0gtODJaSYLmvU8j83N1o/edit?gid=1531946274#gid=1531946274),open
2025-02-19,Prepare Staff Schedule,Prepare Staff Schedule and share via LINE to staff,open
2025-02-23,Operational Manager Reimbursement,Reimbursement Bank,open
2025-02-24,Check Inventory and Re-Order,Check current inventory and make necessary re-orders (https://docs.google.com/spreadsheets/d/1e0D6-6CcSrrVr4SnV4-DaOw0gtODJaSYLmvU8j83N1o/edit?gid=1531946274#gid=1531946274),open
2025-02-28,Marketing & Sales Manager Reimbursement,Reimbursement Mind,open
2025-03-01,Salaries,Make Payments to Staff,open
2025-03-03,Check Inventory and Re-Order,Check current inventory and make necessary re-orders (https://docs.google.com/spreadsheets/d/1e0D6-6CcSrrVr4SnV4-DaOw0gtODJaSYLmvU8j83N1o/edit?gid=1531946274#gid=1531946274),open
2025-03-04,Monthly Reimbursements,"Online Marketing (Google/Meta/Tiktok) -> David, Graphic Design -> Zac, VR -> Khan",open
2025-03-05,Prepare Staff Schedule,Prepare Staff Schedule and share via LINE to staff,open
2025-03-10,Check Inventory and Re-Order,Check current inventory and make necessary re-orders (https://docs.google.com/spreadsheets/d/1e0D6-6CcSrrVr4SnV4-DaOw0gtODJaSYLmvU8j83N1o/edit?gid=1531946274#gid=1531946274),open
2025-03-12,Prepare & Pay Taxes (VAT/WHT) + SSO,"1. Upload Transactions with VAT/WHT to FlowAccount 2. Prepare WHT PND 3 / 53 within FlowAccount 3. Prepare VAT PP36 and PP30 within FlowAccount+RD Prep 4. Submit VAT & WHT and make Payment in E-Filling 5. Submit and Pay SSO",open
2025-03-17,Check Inventory and Re-Order,Check current inventory and make necessary re-orders (https://docs.google.com/spreadsheets/d/1e0D6-6CcSrrVr4SnV4-DaOw0gtODJaSYLmvU8j83N1o/edit?gid=1531946274#gid=1531946274),open
2025-03-19,Prepare Staff Schedule,Prepare Staff Schedule and share via LINE to staff,open
2025-03-23,Operational Manager Reimbursement,Reimbursement Bank,open
2025-03-24,Check Inventory and Re-Order,Check current inventory and make necessary re-orders (https://docs.google.com/spreadsheets/d/1e0D6-6CcSrrVr4SnV4-DaOw0gtODJaSYLmvU8j83N1o/edit?gid=1531946274#gid=1531946274),open
2025-03-30,Marketing & Sales Manager Reimbursement,Reimbursement Mind,open
2025-03-31,Check Inventory and Re-Order,Check current inventory and make necessary re-orders (https://docs.google.com/spreadsheets/d/1e0D6-6CcSrrVr4SnV4-DaOw0gtODJaSYLmvU8j83N1o/edit?gid=1531946274#gid=1531946274),open
2025-04-01,Salaries,Make Payments to Staff,open
2025-04-02,Prepare Staff Schedule,Prepare Staff Schedule and share via LINE to staff,open
2025-04-04,Monthly Reimbursements,"Online Marketing (Google/Meta/Tiktok) -> David, Graphic Design -> Zac, VR -> Khan",open
2025-04-07,Check Inventory and Re-Order,Check current inventory and make necessary re-orders (https://docs.google.com/spreadsheets/d/1e0D6-6CcSrrVr4SnV4-DaOw0gtODJaSYLmvU8j83N1o/edit?gid=1531946274#gid=1531946274),open
2025-04-12,Prepare & Pay Taxes (VAT/WHT) + SSO,"1. Upload Transactions with VAT/WHT to FlowAccount 2. Prepare WHT PND 3 / 53 within FlowAccount 3. Prepare VAT PP36 and PP30 within FlowAccount+RD Prep 4. Submit VAT & WHT and make Payment in E-Filling 5. Submit and Pay SSO",open
2025-04-14,Check Inventory and Re-Order,Check current inventory and make necessary re-orders (https://docs.google.com/spreadsheets/d/1e0D6-6CcSrrVr4SnV4-DaOw0gtODJaSYLmvU8j83N1o/edit?gid=1531946274#gid=1531946274),open
2025-04-16,Prepare Staff Schedule,Prepare Staff Schedule and share via LINE to staff,open
